countyFIPS,Estimate!!OCCUPATION!!Civilian employed population 16 years and over,Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over,"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations"
1117,105724,105724,46895,44.4,14312,13.5,26767,25.3,7982,7.5,9768,9.2
1119,4207,4207,1063,25.3,1006,23.9,1059,25.2,199,4.7,880,20.9
1121,31082,31082,8942,28.8,4871,15.7,6231,20.0,3225,10.4,7813,25.1
1123,15083,15083,4436,29.4,2316,15.4,2970,19.7,1878,12.5,3483,23.1
1125,93450,93450,32937,35.2,16196,17.3,18679,20.0,7939,8.5,17699,18.9
1127,24707,24707,6444,26.1,4321,17.5,5277,21.4,3734,15.1,4931,20.0
1129,5538,5538,1279,23.1,861,15.5,1058,19.1,991,17.9,1349,24.4
1131,2882,2882,738,25.6,602,20.9,466,16.2,243,8.4,833,28.9
1133,9000,9000,2168,24.1,1304,14.5,1716,19.1,1153,12.8,2659,29.5
2013,2395,2395,412,17.2,369,15.4,251,10.5,362,15.1,1001,41.8
2016,3889,3889,697,17.9,615,15.8,533,13.7,596,15.3,1448,37.2
2020,150201,150201,60858,40.5,27073,18.0,32694,21.8,13061,8.7,16515,11.0
2050,6178,6178,2292,37.1,1178,19.1,1347,21.8,589,9.5,772,12.5
2060,488,488,152,31.1,90,18.4,101,20.7,76,15.6,69,14.1
2068,1478,1478,319,21.6,527,35.7,298,20.2,160,10.8,174,11.8
2070,2024,2024,892,44.1,298,14.7,424,20.9,199,9.8,211,10.4
2090,46543,46543,16995,36.5,7398,15.9,9863,21.2,6549,14.1,5738,12.3
2100,1329,1329,534,40.2,223,16.8,317,23.9,151,11.4,104,7.8
2105,1068,1068,380,35.6,205,19.2,171,16.0,188,17.6,124,11.6
2110,17562,17562,7930,45.2,2551,14.5,3434,19.6,1903,10.8,1744,9.9
2122,25564,25564,8526,33.4,5267,20.6,4786,18.7,3780,14.8,3205,12.5
2130,7017,7017,2037,29.0,1320,18.8,1782,25.4,838,11.9,1040,14.8
2150,6919,6919,1994,28.8,1239,17.9,1120,16.2,985,14.2,1581,22.9
2158,2088,2088,623,29.8,536,25.7,388,18.6,240,11.5,301,14.4
2164,594,594,244,41.1,101,17.0,78,13.1,105,17.7,66,11.1
2170,43000,43000,14163,32.9,7603,17.7,8528,19.8,7600,17.7,5106,11.9
2180,3664,3664,1435,39.2,868,23.7,725,19.8,284,7.8,352,9.6
2185,5465,5465,1966,36.0,717,13.1,799,14.6,884,16.2,1099,20.1
2188,2636,2636,981,37.2,490,18.6,486,18.4,343,13.0,336,12.7
2195,1577,1577,418,26.5,236,15.0,253,16.0,393,24.9,277,17.6
2198,2789,2789,932,33.4,460,16.5,467,16.7,474,17.0,456,16.3
2220,4746,4746,1958,41.3,714,15.0,977,20.6,500,10.5,597,12.6
2230,695,695,213,30.6,184,26.5,157,22.6,59,8.5,82,11.8
